Date,SourceCommonName,Persons,Organizations,Locations,Counts,V2Tone,TranslationInfo
20251012190000,jagran.com,sivan a sun sharma;ashok mahato;gazipur a chauhan;sandeep kumar;jharkhand a dhanbad;singh mahato;ranjit kumar sharma,visa the company a operations;visa;group the company;office visa;bank a branch;company enterprises;enterprises her office;imperial enterprises;yuvko a office;visa the company,"4#Patna, Bihar, India#IN#IN34#25.6#85.1167#-2107500;5#Uttar Pradesh, Uttar Pradesh, India#IN#IN36#27.25#80.75#-2113996;4#Madhubani, Bihar, India#IN#IN34#27.0167#84.1#-2103014;4#Darbhanga, Bihar, India#IN#IN34#26.1667#85.9#-2094031;4#Ranchi, Jharkhand, India#IN#IN38#23.35#85.3333#-2109068;4#Chapra, Bihar, India#IN#IN34#25.8833#87.1333#-2092908;1#Benin#BN#BN#9.5#2.25#BN;4#Muzaffarpur, Bihar, India#IN#IN34#26.1167#85.4#-2105246",,"-4.30622009569378,1.19617224880383,5.50239234449761,6.69856459330144,28.9473684210526,0.119617224880383,816",srclc:hin;eng:GT-HIN 1.0
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,thecable.ng,frank azuekor;bayo onanuga;mike ozekhome;bola tinubu;binta nyako;kelvin oniarah ezigbe,national open university;department of state services,"1#Nigeria#NI#NI#10#8#NI;4#Ethiope, Delta, Nigeria#NI#NI36#5.90027#5.69174#-2006747;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Ehor, Edo, Nigeria#NI#NI37#6.98762#5.94096#10416854;4#Kokori, Delta, Nigeria#NI#NI36#5.74228#5.96926#-2011263;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Benin#BN#BN#9.5#2.25#BN",KIDNAP#4#police officers#1#Nigeria#NI#NI#10#8#NI;KILL#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_T03_DEAD#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;ARREST#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;SOC_GENERALCRIME#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;CRISISLEX_C07_SAFETY#2#prison officials#1#Benin#BN#BN#9.5#2.25#BN;,"-7.40740740740741,1.97530864197531,9.38271604938272,11.358024691358,18.7654320987654,0,363",
20251012220000,theeagleonline.com.ng,ugbekpe ekperi;yisa daniel;nureni ayobami eleweodo;toyota hiace;wakili bawa;onyebuchi nwibo;okoro julius;sulaiman kalalu;francis john;samuel omoruyi;rufai ahmed;isaac achiatan;timothy omiwole;oladejo taiwo;adeyemi taiwo;enehizena augustine uyimwen;femi babafemi;bayan asiti,government junior secondary school;baptist high school;girls secondary school;ebenezer model secondary school;murtala muhammed international airport;day secondary school;national drug law enforcement agency;sacred heart secondary school;assembly of god secondary school;community girls secondary school;government secondary school;murtala mohammed college,"5#Ondo State, Ondo, Nigeria#NI#NI48#7.16667#5.08333#-2023650;5#Niger State, Niger, Nigeria#NI#NI31#10#6#-2020892;1#Italy#IT#IT#42.833333#12.833333#IT;5#Kano State, Kano, Nigeria#NI#NI29#11.5#8.5#-2014618;4#Tungan, Sokoto, Nigeria#NI#NI51#13.1275#4.84038#10467520;4#Abakaliki, Ebonyi, Nigeria#NI#NI53#6.31625#8.11691#-1996692;5#Anambra State, Anambra, Nigeria#NI#NI25#6.33333#7#-1999834;5#Ebonyi State, Ebonyi, Nigeria#NI#NI53#6.25#8.08333#9098617;1#Benin#BN#BN#9.5#2.25#BN;5#Adamawa State, Adamawa, Nigeria#NI#NI35#9.33333#12.5#29565;5#Kogi State, Kogi, Nigeria#NI#NI41#7.75#6.75#9153500;5#Osun State, Osun, Nigeria#NI#NI42#7.5#4.5#9153501;4#Port Harcourt, Rivers, Nigeria#NI#NI50#4.78917#6.99861#-2025046;4#Bakori, Katsina, Nigeria#NI#NI24#11.5545#7.42425#-2001679;5#Katsina State, Katsina, Nigeria#NI#NI24#12.25#7.5#-2015017;4#Ogbese, Edo, Nigeria#NI#NI37#6.76191#5.56102#-2022050;1#South Africa#SF#SF#-30#26#SF;4#Ologede, Nigeria (General), Nigeria#NI#NI00#7.21667#4.46667#-2023182;5#Enugu State, Enugu, Nigeria#NI#NI47#6.5#7.5#29624;4#New Bussa, Niger, Nigeria#NI#NI31#9.88333#4.51667#-2020685;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;4#Kaduna, Kaduna, Nigeria#NI#NI23#10.5231#7.44028#-2014086;4#Awgu, Enugu, Nigeria#NI#NI47#6.0742#7.4786#-2001013;4#Ikeja, Lagos, Nigeria#NI#NI05#6.59422#3.33748#-2011499;4#Onitsha, Anambra, Nigeria#NI#NI25#6.14543#6.78845#-2023802;5#Rivers State, Rivers, Nigeria#NI#NI50#4.75#6.83333#-2025387;4#Lagos, Lagos, Nigeria#NI#NI05#6.45306#3.39583#-2017355;4#Nenwe, Enugu, Nigeria#NI#NI47#6.1207#7.5265#-2020678","ARREST#3##1#Italy#IT#IT#42.833333#12.833333#IT;SOC_GENERALCRIME#3##1#Italy#IT#IT#42.833333#12.833333#IT;CRISISLEX_C07_SAFETY#3##1#Italy#IT#IT#42.833333#12.833333#IT;SEIZE#5##4#New Bussa, Niger, Nigeria#NI#NI31#9.88333#4.51667#-2020685;","-2.24525043177893,1.55440414507772,3.79965457685665,5.35405872193437,17.7892918825561,0,516",
20251012210000,europapress.es,matthew canaveras,a association,1#Malawi#MI#MI#-13.5#34#MI;1#Spain#SP#SP#40#-4#SP;1#Benin#BN#BN#9.5#2.25#BN,,"2.0253164556962,3.0379746835443,1.0126582278481,4.05063291139241,16.2025316455696,0.253164556962025,349",srclc:spa;eng:GT-SPA 1.0
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,ghanaweb.com,,ministry of education;national youth service corps;national diploma;benin university;higher national diploma,"1#Benin#BN#BN#9.5#2.25#BN;1#Togo#TO#TO#8#1.166667#TO;4#Ikoyi, Nigeria (General), Nigeria#NI#NI00#8.25#4.16667#-2011927;1#Nigeria#NI#NI#10#8#NI",,"-1.77514792899408,0.828402366863905,2.60355029585799,3.43195266272189,21.301775147929,3.07692307692308,791",
20251011031500,maliactu.net,,supreme court,1#Niger#NG#NG#16#8#NG;1#Benin#BN#BN#9.5#2.25#BN;1#France#FR#FR#46#2#FR,ARREST#14##1#Niger#NG#NG#16#8#NG;,"-6.99300699300699,3.35664335664336,10.3496503496504,13.7062937062937,23.0769230769231,0,672",srclc:fra;eng:GT-FRA 1.0
20251011031500,maliactu.net,,supreme court,1#Niger#NG#NG#16#8#NG;1#Benin#BN#BN#9.5#2.25#BN;1#France#FR#FR#46#2#FR,ARREST#14##1#Niger#NG#NG#16#8#NG;,"-6.99300699300699,3.35664335664336,10.3496503496504,13.7062937062937,23.0769230769231,0,672",srclc:fra;eng:GT-FRA 1.0
20251026234500,lanouvelletribune.info,,,1#Benin#BN#BN#9.5#2.25#BN,,"0.959232613908873,7.07434052757794,6.11510791366906,13.189448441247,22.1822541966427,0,797",srclc:fra;eng:GT-FRA 1.0
20251026234500,lanouvelletribune.info,,,1#Benin#BN#BN#9.5#2.25#BN,,"0.959232613908873,7.07434052757794,6.11510791366906,13.189448441247,22.1822541966427,0,797",srclc:fra;eng:GT-FRA 1.0
20251026234500,lanouvelletribune.info,,hotel of city,1#Benin#BN#BN#9.5#2.25#BN,,"-2.12121212121212,2.42424242424242,4.54545454545455,6.96969696969697,17.8787878787879,0,311",srclc:fra;eng:GT-FRA 1.0
20251026234500,lanouvelletribune.info,,hotel of city,1#Benin#BN#BN#9.5#2.25#BN,,"-2.12121212121212,2.42424242424242,4.54545454545455,6.96969696969697,17.8787878787879,0,311",srclc:fra;eng:GT-FRA 1.0
20251026231500,cherwell.org,augustus pitt rivers;centros shuar;laura van broekhoven;proyecto tsantsa;jefferson pullaguari acacho,oxford university;benin dialogue group;british museum;pitt rivers museum,1#Ecuador#EC#EC#-2#-77.5#EC;1#United Kingdom#UK#UK#54#-4#UK;1#Peru#PE#PE#-10#-76#PE;1#Benin#BN#BN#9.5#2.25#BN,,"-1.7921146953405,1.0752688172043,2.8673835125448,3.9426523297491,16.4874551971326,2.68817204301075,504",
20251026231500,cherwell.org,augustus pitt rivers;centros shuar;laura van broekhoven;proyecto tsantsa;jefferson pullaguari acacho,oxford university;benin dialogue group;british museum;pitt rivers museum,1#Ecuador#EC#EC#-2#-77.5#EC;1#United Kingdom#UK#UK#54#-4#UK;1#Peru#PE#PE#-10#-76#PE;1#Benin#BN#BN#9.5#2.25#BN,,"-1.7921146953405,1.0752688172043,2.8673835125448,3.9426523297491,16.4874551971326,2.68817204301075,504",
20251026231500,cherwell.org,augustus pitt rivers;centros shuar;laura van broekhoven;proyecto tsantsa;jefferson pullaguari acacho,oxford university;benin dialogue group;british museum;pitt rivers museum,1#Ecuador#EC#EC#-2#-77.5#EC;1#United Kingdom#UK#UK#54#-4#UK;1#Peru#PE#PE#-10#-76#PE;1#Benin#BN#BN#9.5#2.25#BN,,"-1.7921146953405,1.0752688172043,2.8673835125448,3.9426523297491,16.4874551971326,2.68817204301075,504",
20251026231500,cherwell.org,augustus pitt rivers;centros shuar;laura van broekhoven;proyecto tsantsa;jefferson pullaguari acacho,oxford university;benin dialogue group;british museum;pitt rivers museum,1#Ecuador#EC#EC#-2#-77.5#EC;1#United Kingdom#UK#UK#54#-4#UK;1#Peru#PE#PE#-10#-76#PE;1#Benin#BN#BN#9.5#2.25#BN,,"-1.7921146953405,1.0752688172043,2.8673835125448,3.9426523297491,16.4874551971326,2.68817204301075,504",
20251012024500,myjoyonline.com,,ghana meteorological agency gmet,1#Nigeria#NI#NI#10#8#NI;1#Benin#BN#BN#9.5#2.25#BN,,"-4.80769230769231,1.92307692307692,6.73076923076923,8.65384615384615,24.0384615384615,0,91",
20251012030000,thenationonlineng.net,gloria bakare;ebonny musik,starburg empowerment foundation;university of benin teaching hospital;world mental health day;health centres,"1#Benin#BN#BN#9.5#2.25#BN;1#Nigeria#NI#NI#10#8#NI;4#Idia, Rivers, Nigeria#NI#NI50#5.41857#6.62216#10601759;1#United Kingdom#UK#UK#54#-4#UK;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-0.510204081632653,5.61224489795918,6.12244897959184,11.734693877551,23.9795918367347,1.53061224489796,177",
20251012030000,thenationonlineng.net,gloria bakare;ebonny musik,starburg empowerment foundation;university of benin teaching hospital;world mental health day;health centres,"1#Benin#BN#BN#9.5#2.25#BN;1#Nigeria#NI#NI#10#8#NI;4#Idia, Rivers, Nigeria#NI#NI50#5.41857#6.62216#10601759;1#United Kingdom#UK#UK#54#-4#UK;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-0.510204081632653,5.61224489795918,6.12244897959184,11.734693877551,23.9795918367347,1.53061224489796,177",
20251004200000,allafrica.com,usman diallo,organization maritime;agency of browsing maritime,"1#Congo#CF#CF#-1#15#CF;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Nigeria#NI#NI#10#8#NI;1#Gabon#GB#GB#-1#11.75#GB;1#Cape Verde#CV#CV#16#-24#CV;1#Togo#TO#TO#8#1.166667#TO;1#Senegal#SG#SG#14#-14#SG;1#Mauritania#MR#MR#20#-12#MR;4#Conakry, Capitale D'etat-Zone Speciale De Conakry, Guinea#GV#GV04#9.50917#-13.7122#-1178387;1#Benin#BN#BN#9.5#2.25#BN;1#Gambia#GA#GA#13.5#-15.5#GA;1#Guinea#GV#GV#11#-10#GV;1#Namibia#WA#WA#-22#17#WA",,"1.76991150442478,2.06489675516224,0.294985250737463,2.3598820058997,13.8643067846608,0.589970501474926,309",srclc:fra;eng:GT-FRA 1.0
20251004200000,allafrica.com,usman diallo,organization maritime;agency of browsing maritime,"1#Congo#CF#CF#-1#15#CF;4#Abuja, Abuja Federal Capital Territory, Nigeria#NI#NI11#9.08333#7.53333#-1997013;1#Nigeria#NI#NI#10#8#NI;1#Gabon#GB#GB#-1#11.75#GB;1#Cape Verde#CV#CV#16#-24#CV;1#Togo#TO#TO#8#1.166667#TO;1#Senegal#SG#SG#14#-14#SG;1#Mauritania#MR#MR#20#-12#MR;4#Conakry, Capitale D'etat-Zone Speciale De Conakry, Guinea#GV#GV04#9.50917#-13.7122#-1178387;1#Benin#BN#BN#9.5#2.25#BN;1#Gambia#GA#GA#13.5#-15.5#GA;1#Guinea#GV#GV#11#-10#GV;1#Namibia#WA#WA#-22#17#WA",,"1.76991150442478,2.06489675516224,0.294985250737463,2.3598820058997,13.8643067846608,0.589970501474926,309",srclc:fra;eng:GT-FRA 1.0
20251019001500,theeagleonline.com.ng,bilal akkouche;ladi kwali;aina onabolu;baba bruce onobrakpeya;ngozi akinyele;demas nwoko;gerald chukwuma;ben enwonwu;muraina oyelami;yusuf grillo;jimoh braimoh;osei bonsu,coronation group;marketing communications;tate international council;national commission for museums,"1#Nigeria#NI#NI#10#8#NI;1#Benin#BN#BN#9.5#2.25#BN;4#Lagos, Lagos, Nigeria#NI#NI05#6.45306#3.39583#-2017355;1#United Kingdom#UK#UK#54#-4#UK;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889",,"5.84629891560585,6.69495520980669,0.848656294200849,7.54361150400754,19.8019801980198,3.81895332390382,1946",
20251019001500,theeagleonline.com.ng,bilal akkouche;ladi kwali;aina onabolu;baba bruce onobrakpeya;ngozi akinyele;demas nwoko;gerald chukwuma;ben enwonwu;muraina oyelami;yusuf grillo;jimoh braimoh;osei bonsu,coronation group;marketing communications;tate international council;national commission for museums,"1#Nigeria#NI#NI#10#8#NI;1#Benin#BN#BN#9.5#2.25#BN;4#Lagos, Lagos, Nigeria#NI#NI05#6.45306#3.39583#-2017355;1#United Kingdom#UK#UK#54#-4#UK;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889",,"5.84629891560585,6.69495520980669,0.848656294200849,7.54361150400754,19.8019801980198,3.81895332390382,1946",
20251214060000,nigerianobservernews.com,omo noba nedo;andy egbon;festus alenkhe,nigeria union of journalists;edo state council,"1#Nigeria#NI#NI#10#8#NI;1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"15.609756097561,15.609756097561,0,15.609756097561,16.0975609756098,0.48780487804878,178",
20251214060000,nigerianobservernews.com,omo noba nedo;andy egbon;festus alenkhe,nigeria union of journalists;edo state council,"1#Nigeria#NI#NI#10#8#NI;1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"15.609756097561,15.609756097561,0,15.609756097561,16.0975609756098,0.48780487804878,178",
20251214060000,nigerianobservernews.com,bola tinubu;kelly ogbaloi;joseph omorogbe;greg igbinomwanhia,young progressives party;chairmen of the labour party;progressives grand alliance;labour party;progressives congress;action alliance;accord party;people redemption party;party advisory council,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"3.78787878787879,6.43939393939394,2.65151515151515,9.09090909090909,22.3484848484848,1.51515151515152,486",
20251214060000,nigerianobservernews.com,bola tinubu;kelly ogbaloi;joseph omorogbe;greg igbinomwanhia,young progressives party;chairmen of the labour party;progressives grand alliance;labour party;progressives congress;action alliance;accord party;people redemption party;party advisory council,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"3.78787878787879,6.43939393939394,2.65151515151515,9.09090909090909,22.3484848484848,1.51515151515152,486",
20251214060000,nigerianobservernews.com,bola tinubu;kelly ogbaloi;joseph omorogbe;greg igbinomwanhia,young progressives party;chairmen of the labour party;progressives grand alliance;labour party;progressives congress;action alliance;accord party;people redemption party;party advisory council,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"3.78787878787879,6.43939393939394,2.65151515151515,9.09090909090909,22.3484848484848,1.51515151515152,486",
20251214060000,nigerianobservernews.com,bola tinubu;kelly ogbaloi;joseph omorogbe;greg igbinomwanhia,young progressives party;chairmen of the labour party;progressives grand alliance;labour party;progressives congress;action alliance;accord party;people redemption party;party advisory council,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"3.78787878787879,6.43939393939394,2.65151515151515,9.09090909090909,22.3484848484848,1.51515151515152,486",
20251214060000,nigerianobservernews.com,bola tinubu;kelly ogbaloi;joseph omorogbe;greg igbinomwanhia,young progressives party;chairmen of the labour party;progressives grand alliance;labour party;progressives congress;action alliance;accord party;people redemption party;party advisory council,"1#Benin#BN#BN#9.5#2.25#BN;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"3.78787878787879,6.43939393939394,2.65151515151515,9.09090909090909,22.3484848484848,1.51515151515152,486",
20251214060000,nigerianobservernews.com,ovia north-east;margaret agbonifo;gabriel osawaru igbinedion;thomas abiodun adeleke;dennis idahosa,glory interdenominational service at god historic chapel,"5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;1#Benin#BN#BN#9.5#2.25#BN",,"9.11949685534591,9.74842767295597,0.628930817610063,10.377358490566,18.5534591194969,1.25786163522013,274",
20251214060000,nigerianobservernews.com,ovia north-east;margaret agbonifo;gabriel osawaru igbinedion;thomas abiodun adeleke;dennis idahosa,glory interdenominational service at god historic chapel,"5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623;1#Benin#BN#BN#9.5#2.25#BN",,"9.11949685534591,9.74842767295597,0.628930817610063,10.377358490566,18.5534591194969,1.25786163522013,274",
20251206224500,thecable.ng,bola tinubu;goodluck jonathan;benjamin ezewere;ohanaeze ndigbo,,1#Benin#BN#BN#9.5#2.25#BN,,"-2.38095238095238,4.16666666666667,6.54761904761905,10.7142857142857,25,1.19047619047619,162",
20251206224500,thecable.ng,bola tinubu;goodluck jonathan;benjamin ezewere;ohanaeze ndigbo,,1#Benin#BN#BN#9.5#2.25#BN,,"-2.38095238095238,4.16666666666667,6.54761904761905,10.7142857142857,25,1.19047619047619,162",
20251206224500,thecable.ng,bola tinubu;goodluck jonathan;benjamin ezewere;ohanaeze ndigbo,,1#Benin#BN#BN#9.5#2.25#BN,,"-2.38095238095238,4.16666666666667,6.54761904761905,10.7142857142857,25,1.19047619047619,162",
20251101093000,promptnewsonline.com,chidi nwabuzor,nigeria police;edo state police,"1#Benin#BN#BN#9.5#2.25#BN;1#Nigeria#NI#NI#10#8#NI;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-5.58659217877095,2.79329608938547,8.37988826815642,11.1731843575419,30.1675977653631,0,164",
20251101093000,promptnewsonline.com,chidi nwabuzor,nigeria police;edo state police,"1#Benin#BN#BN#9.5#2.25#BN;1#Nigeria#NI#NI#10#8#NI;5#Edo State, Edo, Nigeria#NI#NI37#6.5#6#29623",,"-5.58659217877095,2.79329608938547,8.37988826815642,11.1731843575419,30.1675977653631,0,164",
